Time (s)	Processed X Gyro	Processed Y Gyro	Processed Z Gyro	Processed X Accel	Processed Y Accel	Processed Z Accel
91.74355875	0.177288756	0.164728403	0.137786806	-0.022745181	-0.035531953	-1.000752211
91.80388551	0.145367876	-0.228648096	0.016562726	-0.021599198	-0.034896377	-1.001024842
91.86638226	0.146467194	-0.167379126	0.076105863	-0.021080213	-0.035839677	-1.000982642
91.92952601	0.023093682	0.284193009	-0.075309001	-0.021569213	-0.035683334	-1.001521468
91.99224303	0.068712436	0.08352191	0.011993367	-0.022006506	-0.034958567	-1.00200057
92.05623945	0.175467029	0.076825626	0.015478452	-0.022303512	-0.036274683	-1.00043416
92.11716072	-0.160499588	0.257074177	-0.107059762	-0.021999786	-0.035780743	-1.000186324
92.17913322	-0.014636717	-0.023049835	0.154627845	-0.021782013	-0.035297669	-1.001542211
92.24243132	0.085664414	0.014738487	0.014922463	-0.020873718	-0.035346363	-1.000329614
92.30629037	-0.097289227	0.138390899	0.107497804	-0.021786271	-0.035732403	-1.000813127
92.36631791	0.059696618	-0.322001398	0.071432285	-0.021336652	-0.035633206	-1.001074195
92.43221943	0.357693553	-0.077672169	0.076811112	-0.021528082	-0.035013396	-0.999525607
92.49128574	0.028567001	0.127767518	-0.049545381	-0.021589218	-0.035183668	-0.999811828
92.55613168	0.424479187	0.502563953	0.047077987	-0.021720594	-0.034694746	-1.000527978
92.61710545	-0.099492371	0.135544762	-0.047767326	-0.0211989	-0.036526173	-1.001474142
92.68013828	0.085451327	-0.052259047	0.105852984	-0.021528257	-0.035383865	-1.001015902
92.74285371	-0.005618392	-0.018556178	0.075710334	-0.022417331	-0.034967795	-1.000150442
92.8050911	-0.133661449	-0.123521872	0.142800272	-0.021609321	-0.035163753	-1.001601219
92.86798537	0.11449828	0.014135896	0.014755181	-0.021611311	-0.035352558	-1.001580238
92.92990024	-0.006322518	-0.077336438	0.015474081	-0.021388611	-0.03503754	-1.000806093
92.99317978	0.241713122	0.204538718	0.015716273	-0.021884423	-0.035527084	-1.000051022
93.05708186	0.326444298	-0.017045371	-0.014630935	-0.02186905	-0.035229433	-0.999546111
93.1179072	-0.003535482	-0.113976009	0.043729555	-0.02153519	-0.035103574	-1.000161886
93.18011617	0.08927691	0.069862753	0.117182009	-0.021275137	-0.035122041	-1.00113976
93.2440139	-0.037967619	0.011370129	0.015464954	-0.020803761	-0.034858562	-0.999155164
93.30473029	0.052401077	-0.048999153	0.074667118	-0.022313995	-0.035094649	-0.99930954
93.36767232	0.024842903	0.010178751	0.075362675	-0.021496087	-0.035364464	-1.000513315
93.42917941	0.085111074	-0.140468612	0.137068063	-0.021143716	-0.035121497	-1.00053966
93.49171997	-0.06901142	0.199379683	0.04654203	-0.022853374	-0.035898861	-0.999972999
93.55568876	-0.243626833	-0.045084707	0.137529433	-0.021481648	-0.035663813	-1.001162529
93.6167103	0.032324255	-0.182298824	0.051398158	-0.021205185	-0.035405196	-0.998740971
93.67846648	-0.114841267	-1.937475562	0.045377862	-0.023611885	-0.034826461	-1.000150084
93.74139864	-1.35012877	-0.053766694	-0.078209862	-0.022761622	-0.035390195	-1.000876904
93.80552612	-0.298518538	0.017149612	-0.106966347	-0.020394731	-0.036986358	-0.999026239
93.86662227	0.299976766	-0.440940022	0.016567603	-0.022862455	-0.034552503	-1.000006199
93.93074423	-0.190005183	0.256572694	-0.045530893	-0.021822181	-0.035716902	-1.000519395
93.99148628	-0.132757857	-0.090408653	0.11182946	-0.022134565	-0.035011902	-1.001267672
94.0554977	-0.217938006	0.284510463	0.135256395	-0.022365596	-0.034700632	-1.000664353
94.11644029	-0.220825791	0.04244145	0.135974988	-0.021367919	-0.03530778	-1.000076056
94.17930218	0.026321296	-0.168068156	0.167908832	-0.021929892	-0.03542288	-0.99938482
94.24373205	0.144644484	0.194884926	-0.014273265	-0.022248868	-0.034062244	-1.000363946
94.30434383	0.528903186	-1.022583127	-0.165694714	-0.021788118	-0.036886744	-0.99744767
94.36641147	1.062459707	-0.25940913	-0.380276561	-0.023004739	-0.037052538	-0.998258173
94.42944903	-0.701174557	-0.497802198	0.209141955	-0.024213234	-0.035288788	-1.002685666
94.49199156	-13.75374603	17.51620865	10.08414173	-0.014678987	-0.032069456	-0.988620639
94.55612497	-1.519999385	5.128938198	-3.617225647	-0.004243164	-0.033970412	-1.016311884
94.6189391	0.123009518	2.947973728	-10.26818657	-0.020370744	-0.020473037	-1.003082395
94.68016946	6.07538414	-1.011666656	1.9819628	-0.005465059	-0.005993857	-0.993642688
94.7418234	-2.21068716	-0.764332831	9.834789276	-0.002223089	-0.018388642	-1.009346008
94.80384249	6.819466114	-16.87464142	-27.31674004	0.057327222	-0.009653896	-1.012744546
94.86695189	-30.80958366	46.26762009	-50.95144272	0.132711291	-0.001592644	-1.026165247
94.92996971	-0.479334742	55.37944794	15.47566986	0.19151175	0.013104822	-1.007011414
94.99257107	13.64190865	52.256073	32.68113708	0.101085812	-0.033047743	-1.01125598
95.05493004	12.86925411	22.70685959	39.8891716	0.066639066	0.00296564	-0.94209224
95.11686544	-22.80062866	18.44221687	-14.85439777	0.005081385	-0.015440201	-0.930541158
95.17992392	5.409496307	-2.16946435	6.144628525	0.033520922	-0.02962875	-0.98685503
95.24477263	24.33226967	-3.383576393	14.14258862	0.076224655	-0.004675898	-1.039555907
95.30450686	-12.01558113	-4.451522827	-13.94081497	0.057690073	-0.057543267	-1.005989671
95.36657214	-15.75461102	-49.42912292	-11.81258202	0.052356545	-0.01645471	-1.010582566
95.42872741	-26.39480019	-28.90473557	-14.1305809	-0.009150539	0.021354795	-0.993296921
95.49236935	-18.57694626	-96.34532166	36.74623108	-0.086551338	0.00122492	-0.947320402
95.55472043	25.81365585	-59.7559166	-2.557195902	-0.154701889	0.008050868	-0.970841527
95.6165149	-3.141548157	17.19005394	-20.37927437	-0.115778819	-0.009661155	-1.118335247
95.68061238	30.85544586	-27.96702766	1.393631935	-0.070125818	-0.004821619	-1.080175877
95.74223671	33.97006226	-69.93243408	35.16868591	-0.017913129	0.011045875	-1.007596135
95.8043983	30.43830681	-23.31152725	6.409414291	-0.01033428	-0.030245004	-0.952569008
95.86655556	28.47347832	-37.1001358	95.34902191	-0.132155448	-0.070982009	-0.939724028
95.92940126	22.94947815	-50.47418594	37.18463516	-0.172808513	-0.156151623	-1.012449741
95.99233619	12.69610691	-25.33798218	17.16636276	-0.180092081	-0.127750218	-1.000235558
96.05617629	-0.931176424	10.04397964	12.36909389	-0.173815981	-0.109085895	-0.996231437
96.11607514	8.51537323	0.717128158	-16.56708336	-0.279505879	-0.115416564	-0.971923053
96.17909375	-6.142959118	13.83146095	-12.07356644	-0.295761526	-0.12669529	-0.968788326
96.24125455	-0.663425386	53.6153717	-64.0235672	-0.215957835	-0.141120374	-1.006681561
96.30530861	-6.410851002	59.24986267	-70.59118652	-0.120136604	-0.143505722	-1.006291628
96.36793128	-8.313797951	68.10626984	-62.37244415	-0.017758936	-0.133926407	-1.012975454
96.42886637	-58.84080505	76.36802673	-69.43955994	-0.043626215	-0.117579527	-0.964518249
96.49174918	-24.77216339	49.13434982	-72.11702728	-0.017686557	-0.143496454	-0.993635118
96.55490912	-28.98959541	18.75768089	-28.60147095	-0.095072016	-0.118295528	-0.93351984
96.61694123	4.964338303	-18.1587944	20.19822502	-0.077776238	-0.094444692	-1.007862091
96.68198653	5.345467091	-4.758700371	48.68552399	-0.027287284	-0.111123599	-1.062106609
96.74490803	14.71234608	-6.137775421	36.5724144	-0.029375818	-0.143414035	-0.999567509
96.80491465	71.1552887	-22.03659248	15.99190712	-0.027221764	-0.247871071	-0.985932708
96.86688873	-40.61936569	0.329878092	0.0483215	-0.051942751	-0.238873795	-0.974890292
96.9297747	-49.91167831	-14.46356583	-7.533246517	-0.031741254	-0.159882471	-0.927214921
96.99250278	-4.967673779	-28.63717651	31.82104492	-0.046161603	-0.104390673	-1.012710333
