Time (s)	Processed X Gyro	Processed Y Gyro	Processed Z Gyro	Processed X Accel	Processed Y Accel	Processed Z Accel
713.476842	-0.005621521	0.134252787	0.045599669	-0.026295343	-0.013926152	-1.001978874
713.5390075	0.056060728	0.042441498	0.074293658	-0.025879694	-0.013581966	-1.001886487
713.6010523	0.055346318	0.015577674	-0.075623654	-0.025801998	-0.013372336	-1.001258731
713.6658066	-0.005973806	-0.227236226	0.106197439	-0.025856042	-0.013553871	-1.00191927
713.7259143	-0.005645189	-0.015293902	-0.014661306	-0.025630541	-0.014251079	-1.002505064
713.7892992	-0.068482466	-0.11172571	0.014915691	-0.026293907	-0.013418216	-1.001351237
713.850395	0.023113793	0.075199932	0.048192095	-0.026196878	-0.013587638	-1.002048969
713.9137381	-0.006335989	0.133576065	-0.074886352	-0.026342636	-0.014203371	-1.002013922
713.9766908	-0.03718451	0.103787184	0.07679835	-0.026139053	-0.013712148	-1.002840638
714.0397319	0.056903377	0.168377668	-0.0466232	-0.02567647	-0.013972514	-1.003013492
714.1005055	0.11524424	-0.017416041	-0.015382216	-0.025873393	-0.014265713	-1.001878142
714.1634902	-0.005262102	-0.047193978	0.045256514	-0.025732383	-0.013471927	-1.002278209
714.2264492	0.240393549	-0.016304929	0.045403726	-0.025802933	-0.014218768	-1.002505779
714.2882583	-0.034674514	-0.077340961	0.075726271	-0.025165763	-0.013790876	-1.002791643
714.3515793	-0.0037584	-0.201882899	0.044596631	-0.026180767	-0.013854164	-1.002155185
714.4144862	0.023526547	-0.141125694	0.167990431	-0.025896462	-0.014152078	-1.001744032
714.4780334	-0.005620918	-0.076600589	-0.014647785	-0.025787231	-0.014002426	-1.002892852
714.5383518	0.174043983	0.134266093	-0.014277847	-0.025746228	-0.013528027	-1.002133846
714.6015291	-0.097803175	0.104152597	0.106567517	-0.026174268	-0.013579729	-1.001827955
714.6641044	0.023408284	0.042820267	0.045970544	-0.026223589	-0.013672924	-1.002157569
714.7261275	0.024136402	0.043168906	-0.045493517	-0.026815493	-0.013615574	-1.002201796
714.7892053	0.085110821	0.256936431	-0.074168853	-0.026132014	-0.013903638	-1.002254367
714.8509465	-0.03628701	-0.049056288	-0.045503847	-0.02548869	-0.013025951	-1.002126932
714.9139532	-0.156969026	-0.016717969	0.075720578	-0.025562737	-0.013091381	-1.002944231
714.9760304	-0.035746992	-0.015982	0.105857357	-0.025620479	-0.01458881	-1.002468586
