0x50	04:54:40.921	-0.11	1.13	9.33	-0.0	-0.0	0.0	
0x50	04:54:40.922	-0.12	1.12	9.36	-0.0	-0.0	0.0	
0x50	04:54:40.924	-0.13	1.13	9.36	-0.0	-0.0	0.0	
0x50	04:54:40.927	-0.12	1.12	9.37	-0.0	-0.0	0.0	
0x50	04:54:40.929	-0.11	1.10	9.39	-0.0	-0.0	0.0	
0x50	04:54:40.930	-0.13	1.08	9.37	-0.0	-0.0	0.0	
0x50	04:54:40.932	-0.13	1.13	9.35	0.0	-0.0	-0.0	
0x50	04:54:40.933	-0.09	1.11	9.36	0.0	-0.0	0.0	
0x50	04:54:40.935	-0.11	1.12	9.35	-0.0	0.0	0.0	
0x50	04:54:40.937	-0.12	1.14	9.32	-0.0	0.0	0.0	
0x50	04:54:40.938	-0.13	1.12	9.38	-0.0	0.0	-0.0	
0x50	04:54:40.939	-0.10	1.08	9.33	-0.0	0.0	0.0	
0x50	04:54:40.940	-0.12	1.11	9.37	-0.0	0.0	0.0	
0x50	04:54:40.942	-0.12	1.13	9.34	-0.0	-0.0	0.0	
0x50	04:54:40.942	-0.12	1.12	9.36	-0.0	0.572958	-0.0	
0x50	04:54:40.943	-0.09	1.09	9.35	0.0	-0.0	-0.0	
0x50	04:54:40.944	-0.12	1.11	9.36	-0.0	0.0	-0.0	
0x50	04:54:40.944	-0.12	1.11	9.34	-0.0	-0.0	0.0	
0x50	04:54:40.945	-0.12	1.12	9.36	0.0	-0.0	-0.0	
0x50	04:54:40.946	-0.13	1.13	9.34	0.0	0.0	0.0	
0x50	04:54:40.946	-0.10	1.13	9.35	0.0	-0.0	0.0	
0x50	04:54:40.947	-0.11	1.09	9.32	-0.0	0.0	0.0	
0x50	04:54:40.947	-0.12	1.13	9.34	0.0	0.0	0.0	
